"","Organism","Kingdom","Phylum","Class","Groups","mDAG_Id","Full_Name","Freq_Phylum","Freq_Class","clust4_MSA","clust4_Mun","combined_cluster_MSA_Kingdom","combined_cluster_Mun_Kingdom"
"1","aamp","Animals","Vertebrates","Mammals","Cluster 1","0313","Arvicola amphibius (Eurasian water vole)",331,139,1,1,"Animals1","Animals1"
"2","afz","Animals","Vertebrates","Mammals","Cluster 1","0143","Antechinus flavipes (yellow-footed antechinus)",331,139,1,1,"Animals1","Animals1"
"3","ajm","Animals","Vertebrates","Mammals","Cluster 1","0221","Artibeus jamaicensis (Jamaican fruit-eating bat)",331,139,1,1,"Animals1","Animals1"
"4","aju","Animals","Vertebrates","Mammals","Cluster 1","0224","Acinonyx jubatus (cheetah)",331,139,1,1,"Animals1","Animals1"
"5","aml","Animals","Vertebrates","Mammals","Cluster 1","0279","Ailuropoda melanoleuca (giant panda)",331,139,1,1,"Animals1","Animals1"
"6","anu","Animals","Vertebrates","Mammals","Cluster 1","0310","Arvicanthis niloticus (African grass rat)",331,139,1,1,"Animals1","Animals1"
"7","bacu","Animals","Vertebrates","Mammals","Cluster 1","0600","Balaenoptera acutorostrata scammoni (minke whale)",331,139,1,1,"Animals1","Animals1"
"8","bbis","Animals","Vertebrates","Mammals","Cluster 1","0193","Bison bison bison (American bison)",331,139,1,1,"Animals1","Animals1"
"9","bbub","Animals","Vertebrates","Mammals","Cluster 1","0416","Bubalus bubalis (water buffalo)",331,139,1,1,"Animals1","Animals1"
"10","biu","Animals","Vertebrates","Mammals","Cluster 1","0622","Bos indicus (zebu cattle)",331,139,1,1,"Animals1","Animals1"
"11","bom","Animals","Vertebrates","Mammals","Cluster 1","0701","Bos mutus (wild yak)",331,139,1,1,"Animals1","Animals1"
"12","bta","Animals","Vertebrates","Mammals","Cluster 1","0741","Bos taurus (cow)",331,139,1,1,"Animals1","Animals1"
"13","btax","Animals","Vertebrates","Mammals","Cluster 1","0544","Budorcas taxicolor (takin)",331,139,1,1,"Animals1","Animals1"
