size,Animals,Fungi,Plants,Protists
1,408027,74872,109638,17773
2,7426,2464,2306,678
3,5087,464,758,303
4,2613,324,632,115
5,948,340,49,56
6,390,131,274,46
7,190,167,27,16
8,544,70,127,27
9,137,7,124,10
10,492,20,2,10
11,91,29,132,8
12,44,3,6,4
13,21,4,0,2
14,15,10,0,1
15,195,2,0,5
16,23,6,0,3
17,7,5,1,0
18,410,122,118,3
19,3,7,0,0
20,4,0,0,7
21,1,0,0,0
22,0,0,0,2
23,3,0,0,0
24,5,1,0,0
25,2,1,0,2
27,1,0,1,0
29,1,2,0,0
30,0,1,0,1
31,2,4,0,2
32,0,4,0,1
33,1,2,0,0
34,3,0,0,0
35,5,0,0,0
36,1,0,0,1
37,1,2,0,1
39,1,0,0,0
44,1,0,0,4
45,0,1,0,0
46,1,0,0,0
47,0,0,0,3
48,0,0,0,2
49,1,0,0,1
50,1,0,0,0
51,1,0,0,0
53,2,0,0,0
54,1,0,0,0
56,1,0,0,0
57,3,0,0,0
92,0,0,0,1
103,0,0,0,1
107,0,0,0,1
117,0,0,0,1
118,0,0,0,1
119,0,0,0,1
120,0,0,0,3
121,0,0,0,5
136,1,0,0,0
139,0,0,0,1
162,0,0,0,1
181,1,0,0,0
186,0,0,0,1
189,0,0,0,1
203,0,0,0,1
222,0,0,1,0
224,0,0,0,1
226,0,0,0,1
232,0,0,0,1
233,1,0,0,0
234,0,0,0,1
240,0,0,0,3
241,0,0,0,1
250,1,0,0,0
259,0,0,1,0
276,1,0,0,1
284,0,1,0,1
285,0,0,1,0
286,1,0,0,0
291,0,0,0,1
296,0,1,0,1
300,0,0,1,0
306,0,0,0,1
307,0,1,0,0
314,0,0,1,0
326,1,0,0,0
329,0,0,1,0
331,0,0,0,1
332,0,1,0,0
336,0,0,1,0
340,0,0,0,1
343,0,0,1,0
344,0,1,0,0
348,0,0,0,1
350,0,1,0,0
360,1,0,0,0
361,0,0,1,0
363,0,0,0,1
364,0,1,0,0
371,0,0,0,1
373,1,0,0,0
375,1,0,0,0
381,0,1,1,0
387,0,1,0,0
390,0,1,0,0
392,0,0,0,1
393,1,0,0,0
401,0,2,0,0
402,0,1,0,0
403,1,0,0,0
409,0,1,0,0
410,0,1,1,0
417,1,1,0,0
419,0,1,0,0
420,0,0,1,1
421,0,0,1,0
422,0,2,0,0
423,1,1,0,0
427,0,1,0,0
428,1,1,0,0
429,1,0,0,0
430,0,1,0,0
433,0,1,0,0
437,1,1,0,0
438,0,1,0,0
441,0,1,0,0
443,1,1,0,0
444,0,1,0,0
446,0,1,0,0
447,1,2,0,0
449,1,1,0,0
450,1,0,0,0
451,0,3,0,0
452,1,0,0,0
454,0,1,0,0
455,0,1,0,0
456,1,0,0,0
457,1,1,0,0
458,1,1,0,0
459,2,0,0,0
461,1,1,0,0
462,1,2,0,0
463,0,3,0,0
465,1,0,0,0
466,1,0,0,0
467,1,0,0,0
468,0,2,0,0
469,2,0,0,0
470,1,0,0,0
471,1,1,0,0
473,2,1,0,0
474,3,0,0,0
476,0,2,0,0
477,1,0,0,0
478,1,1,0,0
479,1,0,0,0
480,0,1,0,0
481,2,0,0,0
482,2,0,0,0
483,2,0,0,0
484,2,1,0,1
485,0,2,0,0
486,1,1,0,0
487,6,0,0,0
488,1,2,0,0
489,1,0,0,0
490,1,0,0,0
491,2,1,0,0
492,2,0,0,0
493,1,1,0,0
494,0,1,0,0
495,2,1,0,0
496,4,1,0,0
498,5,3,0,0
499,2,0,0,0
500,2,0,0,0
501,1,1,0,0
502,3,3,0,0
503,1,0,0,0
504,6,0,0,1
505,5,2,0,0
506,5,2,0,0
507,1,2,0,0
508,4,0,0,0
509,0,1,0,0
510,4,2,0,0
511,3,1,0,0
512,1,0,0,0
513,6,1,0,0
514,5,0,0,0
515,1,1,0,0
